slug,название,дата выхода,возрастной рейтинг,жанры,разработчики,издатели,основная платформа,оценка критиков,рецензий,оценка игроков,оценок,плюсы (критики),минусы (критики),вывод (критики),отзывов критиков,плюсы (игроки),минусы (игроки),вывод (игроки),отзывов игроков,модель,летсплей,ссылка на летсплей,канал,просмотры,длительность (мин),язык,расшифровка,о чём ролик,итог ролика,блогер хвалит,блогер ругает,ошибка летсплея,ссылка Metacritic,видео,обложка,обновлена
nhl-27,NHL 27,2026-09-11,E10+,Hockey Sim,EA Vancouver,Electronic Arts,PlayStation 5,68,13,3.1,17,"Критики отмечают улучшение системы физики, корректировки ИИ и аутентичность подачи игры; Игра предлагает более динамичный геймплей, глубокие игровые режимы и аутентичную атмосферу NHL; Критики хвалят визуальное оформление периферийных элементов и общую презентацию; Один из критиков пишет, что игра дает приятный опыт от хоккея, когда атаки проходят идеально; В режиме Hockey Ultimate Team (HUT) появились новые элементы — коучи и тактические планы","Многие критики считают, что игра не предлагает революционных изменений и ощущается скорее как обновление предыдущей части; Один из критиков отмечает наличие неточных сканов лиц и устаревших механик розыгрыша вбрасышей; Критики жалуются на навязчивый режим Hockey Ultimate Team (HUT) с избытком информации; Один из критиков пишет, что игра стоит слишком дорого для продукта с такими минимальными улучшениями; Критики указывают на отсутствие новых игровых режимов и серьезных изменений для постоянных игроков","Отзывы критиков разделились: одни хвалят улучшенную графику и физику, другие считают игру поверхностным обновлением с недостатком инноваций.",12 из 12,"игроки отмечают, что игра приносит много удовольствия",в отзывах встречаются нарекания на низкое качество искусственного интеллекта; критики указывают на проблемы с техническим состоянием и стабильностью игры; игроки жалуются на некорректную работу управления; в отзывах встречаются жалобы на проблемы с комментариями; игроки критикуют отсутствие командного духа и однообразные механики,"Большинство игроков в выборке выражают крайне негативное отношение к игре, критикуя её за технические проблемы, плохой искусственный интеллект и отсутствие новизны по сравнению с прошлыми частями. Несмотря на наличие позитивных отзывов, преобладают жалобы на низкое качество продукта и его высокую стоимость.",6 из 17,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=Ew-O0rvTv1I,Nasher,288969,20.0,en,Whisper,"Блогер делится своими первыми впечатлениями от NHL 27, отмечая, что изменения в геймплее кажутся незначительными и могли бы быть реализованы в виде патча для предыдущей части. Он хвалит улучшенные механики перехвата шайбы, новые углы камеры и систему проверки шайбы (poke checks), однако критикует систему выносливости игроков и возвращение штрафов от ИИ. В целом, блогер считает, что игра движется в правильном направлении, но для ежегодного цикла обновлений прогресса недостаточно.","Блогер считает, что NHL 27 — это шаг в правильном направлении с заметными улучшениями в некоторых механиках (перехваты, проверка шайбы), но общая динамика изменений слишком мала для новой части. Игра может понравиться любителям онлайн-режима из-за обновленной презентации, но для тех, кто ждет серьезных инноваций, прогресс может показаться недостаточным.",Улучшенные углы камеры при повторах; Улучшенная механика перехвата шайбы; Хорошая система проверки шайбы (poke checks); Улучшенная механика поднятия клюшки,Слишком быстрая потеря выносливости у игроков; Слабая и неудобная механика LT; Возвращение штрафов от ИИ; Недостаточный объем изменений для ежегодного обновления,,https://www.metacritic.com/game/nhl-27/,,https://www.metacritic.com/a/img/catalog/provider/7/2/7-1788247064.jpg,2026-09-16 10:00
wo-long-fallen-dynasty-complete-edition,Wo Long: Fallen Dynasty - Complete Edition,2026-09-03,M,Action RPG,Team Ninja,Koei Tecmo Games,Nintendo Switch 2,67,9,5.6,5,"Один из критиков отмечает, что игра является отличной альтернативой играм FromSoftware, предлагая свежие изменения в знакомых системах.; Один из критиков пишет, что игра предлагает уникальный стиль в жанре, который хорошо работает.; Один из критиков отмечает, что боевая система основана на парировании и может быть интересной на другом оборудовании.; Один из критиков отмечает, что в игре приятная боевая система и сочетание китайской истории с фольклором.; Один из критиков отмечает, что игра предлагает много вариантов развития собственного стиля в боевых действиях.","Несколько критиков жалуют на плохую оптимизацию порта для Nintendo Switch 2, включая падение частоты кадров и низкое качество графики.; Один из критиков отмечает, что графика выглядит ужасно в режиме производительности.; Один из критиков пишет, что технические проблемы в игре, где важен тайминг, трудно игнорировать.; Один из критиков отмечает, что система морали и флагов мешает ощущению прогресса, а избыток добычи становится утомительным.; Один из критиков отмечает, что игра не кажется такой завершенной, как некоторые другие проекты.","Отзывы критиков разделились: многие хвалят саму игру за уникальную боевую систему и интересные механики, однако большинство отмечает крайне низкое качество технической реализации порта на Nintendo Switch 2.",9 из 9,,,,,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=Hyehc61u8OU,TheGamesDenTV,133,100.0,en,Whisper,"Блогер делится своими впечатлениями от игры Wo Long: Fallen Dynasty - Complete Edition. Он отмечает наличие системы духа, механик парирования и уворотов, а также систему морали. Игроку нравится визуальный стиль экипировки и наличие большого количества предметов в Complete Edition. Однако автор выражает значительное недовольство сложностью игры, особенно в сражениях с боссами, и критикует систему навигации и отсутствие четких указателей в мире.","Wo Long: Fallen Dynasty - Complete Edition предлагает интересный геймплей с глубокими механиками боя и красивым визуалом, но игра может сильно отбить желание продолжать из-за запредельной сложности боссов и запутанной навигации.",удобная механика уворотов; приятный внешний вид экипировки; богатое содержимое версии Complete Edition; эффективность определенных предметов,чрезвычайная сложность босс-файтов; плохая система навигации и отсутствие указателей; неудобная система веса экипировки; неудачные решения в выборе оружия,,https://www.metacritic.com/game/wo-long-fallen-dynasty-complete-edition/,https://cdn.jwplayer.com/players/m7bm9LAW.html,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1274889-17.jpg,2026-09-16 10:00
bus-simulator-27,Bus Simulator 27,2026-09-08,,Vehicle Sim,Simteract,astragon,PC,66,4,,2,"Один из критиков отмечает отличную визуальную составляющую игры; Один из критиков хвалит большой выбор и качественный дизайн автобусов; Один из критиков отмечает высокую степень реализма; Один из критиков пишет, что игра обладает большой картой и достаточным количеством контента; Один из критиков отмечает внимание к деталям в локации Felicia Bay","Один из критиков пишет, что игра может работать нестабильно на старых компьютерах и иметь ошибки; Один из критиков считает, что игра ощущается как проект в раннем доступе; Один из критиков отмечает необходимость улучшения искусственного интеллекта водителей; Один из критиков пишет о наличии множества проблем в различных игровых режимах","Отзывы критиков носят смешанный характер: одни хвалят визуальную составляющую и объем контента, другие указывают на техническую неготовность игры и наличие багов.",4 из 4,Один из игроков считает игру очень хорошей и отмечает крайне малое количество багов по сравнению с предыдущей частью.,,"В выборке представлен лишь один положительный отзыв, поэтому общая картина игры по отзывам неполная.",1 из 2,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=mTTURiczxP0,Vinesauce: The Full Sauce,71571,86.7,en,Whisper,"В этом видео Vinny знакомится с Bus Simulator 27, оценивая её как более проработанный проект в своем жанре по сравнению с предшественниками. Блогер тестирует возможности управления транспортной компанией, кастомизацию автобусов и создание собственных маршрутов, погружаясь в процесс вождения.","Общее впечатление блогера остается смешанным: игра признается достойным симулятором для ценителей процесса вождения, но вызывает разочарование из-за отсутствия взаимодействия с миром и технических огрехов. Если в начале автор выделял инновационные механики и детализацию, то к финалу акцентировал внимание на ограниченности свободы действий и раздражающей системе штрафов.","Инновационная и интересная камера; Возможность создавать собственные маршруты и управлять компанией; Детализация автобусов впечатляет; Игра кажется менее багованной, чем ожидалось; Управление автобусом выполнено на достойном уровне",Сложности и странности в управлении автобусом; Непонятные или странные игровые механики и баги; Ограниченность игровых возможностей и отсутствие свободы действий; Несоразмерно высокие штрафы за мелкие ошибки; Проблемы с кастомизацией транспорта,,https://www.metacritic.com/game/bus-simulator-27/,https://video.akamai.steamstatic.com/store_trailers/2397320/1119593600/6d82a5093b99445e093039077963380b1fba8265/1788866410/hls_264_master.m3u8?t=1788880086,https://www.metacritic.com/a/img/catalog/provider/7/2/7-1788986991.jpg,2026-09-16 10:00
the-alighieri-circle-dantes-bloodline,The Alighieri Circle: Dante's Bloodline,2026-09-10,,First-Person Adventure,ONE-O-ONE Games,Entalto Publishing,PC,66,4,,3,критики отмечают наличие красивого визуального ряда; в отзывах встречается мнение о впечатляющих головоломках; критики выделяют уникальное и качественное изображение ада; в отзывах встречается положительная оценка отношений между героями Габриэле и Делилой; критики хвалят успешное сочетание творческих моментов,критики жалуются на недостаточное количество испытаний; в отзывах встречаются нарекания на разочаровывающий сюжет; критики критикуют слабо проработанные головоломки; в отзывах встречаются жалобы на недостаточный объем контента; критики указывают на недостатки в проработке персонажей во второй половине игры,"Критики разделились в оценках игры: одни хвалят визуальный стиль, уникальную атмосферу и творческий подход к интерпретации произведений Данте, другие же сетуют на слабое повествование, посредственные головоломки и недостаточный объем контента.",4 из 4,,,,,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=SQXGJaxmYn0,QuelTaleAle Games,16747,31.3,it,Whisper,"Блогер делится первыми впечатлениями от демоверсии The Alighieri Circle: Dante's Bloodline, подчеркивая интерес к жанру и разработчикам. Он отмечает атмосферу игры, систему исследования и визуальные эффекты, хотя и упоминает о некоторой темноте в локациях. Блогер выражает ожидание полноценного релиза, отмечая интригующий сюжет и потенциал проекта.","Блогер оценивает демоверсию как интригующую и атмосферную игру с хорошим потенциалом. Ему нравится визуальный стиль и то, как реализовано исследование локаций без лишних препятствий в темноте. Несмотря на отсутствие карты и местами низкую видимость, он с интересом ждет полноценного релиза, особенно учитывая опыт разработчиков в подобных проектах.",атмосферная и мрачная обстановка; интригующий и интересный сюжет; понятная навигация и отсутствие внезапных засад в темноте; стильный визуальный ряд,недостаточная видимость некоторых объектов из-за темноты; отсутствие карты в игре,,https://www.metacritic.com/game/the-alighieri-circle-dantes-bloodline/,https://video.akamai.steamstatic.com/store_trailers/4262620/846733337/afbde2375ce1ca8ff093e4b1a744b735ace01576/1787125265/hls_264_master.m3u8?t=1787125986,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1200862-52.jpg,2026-09-16 10:00
bioeden,BioEden,2026-09-03,,Management,Broken Arms Games,Focus Entertainment,PC,64,5,,1,"Один из критиков отмечает, что игра выглядит красиво и в ней есть что-то успокаивающее.; Один из критиков пишет, что игра предлагает приятный и доступный опыт управления, сосредоточенный на восстановлении экологии.; Один из критиков отмечает, что игра обладает расслабляющей атмосферой, прощающими механиками и размеренным темпом.; Один из критиков пишет, что игра является интересным и приятным экологическим поворотом в жанре 4X.; Один из критиков отмечает, что механики игры интересные и приносящие удовлетворение.","Один из критиков отмечает, что игра слишком легкая и часто оставляет игрока без дела.; Один из критиков пишет, что в игре мало того, что могло бы зацепить или заставить вернуться снова.; Один из критиков отмечает, что в игре повторяющаяся структура кампаний и малая вариативность гильдий.; Один из критиков пишет, что из-за непоследовательных систем, отсутствия сюжета и ограниченной реиграбельности игра не раскрывает свой потенциал.; Один из критиков отмечает, что игре не хватает глубины для обеспечения хорошей реиграбельности, а опытным игрокам в 4X она может показаться слишком простой.","Отзывы критиков носят смешанный характер: игроки хвалят расслабляющую атмосферу и визуальный стиль, но указывают на недостаток глубины, повторяющиеся элементы и низкую реиграбельность.",5 из 5,,,,,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=ncXL8TLx0sM,Aliensrock,278888,30.1,en,Whisper,"В ролике блогер знакомится с процессом восстановления токсичной планеты в игре BioEden, где ему предстоит балансировать между промышленным развитием и экологическим восстановлением. Автор исследует механики создания биомов, управления ресурсами и размножения различных видов животных. На протяжении прохождения он оценивает систему прогрессии, исследование новых территорий и визуальные изменения ландшафта.","Блогер остался доволен игрой, отметив увлекательный цикл восстановления экосистемы и интересные взаимодействия между видами животных. Несмотря на сложности с балансировкой ресурсов и строгие ограничения системы рисков, визуальный прогресс и механики исследования приносят большое удовольствие.",Процесс исследования и размножения животных реализован интересно; Механика восстановления природы дает положительный результат; Визуальный стиль некоторых животных нравится блогеру; Интересное взаимодействие между видами животных; Приятно наблюдать за размножением животных,Развитие требует значительных затрат ресурсов; Рост промышленного развития негативно влияет на экологию; Увеличение уровня кризиса приводит к удорожанию строительства; Сложность балансировки строительства из-за системы рисков; Неудобство поиска определенных ресурсов,,https://www.metacritic.com/game/bioeden/,https://video.akamai.steamstatic.com/store_trailers/3265840/38518839/1a276955ffc956feb609b3b5b488797087078005/1788427413/hls_264_master.m3u8?t=1788451303,https://www.metacritic.com/a/img/catalog/provider/7/2/7-1788547625.jpg,2026-09-16 10:00
serious-sam-shatterverse,Serious Sam: Shatterverse,2026-08-31,,FPS,Behaviour Interactive,Devolver Digital,PC,47,5,6.3,4,"Один из критиков отмечает, что игра становится увлекательной, когда удается расширить формулу рогалайта и билд персонажа обретает направление.; Один из критиков пишет, что прорубание толп инопланетян новыми и более крупными пушками вызывает восторг.; Один из критиков считает, что в игре присутствуют все составляющие приятного многопользовательского рогалайка.","Один из критиков отмечает, что игре требуется много терпения и готовность игнорировать несколько неинтересных элементов.; Один из критиков считает, что игра проигрывает из-за незначительных улучшений, плохого баланса в одиночном режиме, раздражающей системы оружия и сломанного подбора игроков.; Один из критиков считает, что игра ощущается как низкокачественный способ заработать денег на преданной нише без участия Croteam.; Один из критиков пишет, что большинство прохождений очень похожи из-за повторения локаций, испытаний и врагов.; Один из критиков отмечает, что игра содержит множество багов, которые создают необходимый хаос.","Один из критиков считает, что игра могла бы быть по-настоящему приятной, но на релизе она не приносит удовольствия из-за ужасной прогрессии, посреднего геймплея и большого количества ошибок. В отзывах преобладают негативные оценки.",5 из 5,,"Один игрок пишет, что визуальный дизайн игры напоминает мобильную игру.; Игроку не понравился диалог в стиле «кринжовых миллениалов».; Игрок считает геймплей худшей частью игры, называя его неуклюжим и бездушным.; Один игрок отмечает отсутствие эффекта от оружия и странный аудиодизайн.; Игроку не понравилось добавление механики гринда в игру Serious Sam.","В выборке представлен только один отрицательный отзыв, поэтому общая картина игры по нему выглядит крайне негативно.",1 из 4,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=lzXM2aOxBr0,GmanLives,389585,24.8,en,Whisper,"В ролике блогер делится своим опытом прохождения Serious Sam: Shatterverse, анализируя основные механики и визуальный стиль проекта. Автор подробно разбирает систему прогрессии, сложность уровней и способы взаимодействия с игровым миром.","Блогер крайне разочарован игрой, считая её неудачным продуктом, который не соответствует ожиданиям фанатов и лишен уникальной идентичности серии. Его негативное мнение сохраняется на протяжении всего ролика: от критики визуального стиля и сценария до разочарования от несбалансированных механик.",интересные способности у разных версий Сэма; система получения информации об игровом мире через кодекс,"непродуманный и слишком резкий скачок сложности на уровне Shattered; плохой баланс в кооперативном режиме; недостаточное количество ресурсов для прогрессии; Игра кажется набором случайных концепций, которые не складываются в единое целое; Сюжет практически отсутствует, а сценарий написан очень плохо",,https://www.metacritic.com/game/serious-sam-shatterverse/,https://video.akamai.steamstatic.com/store_trailers/2067210/1133478281/a2f325a0500e9c98714512af07c03bc62c3690ac/1788183088/hls_264_master.m3u8?t=1788191119,https://www.metacritic.com/a/img/catalog/provider/7/2/7-1789365273.jpg,2026-09-15 12:43
5-in-1-arcade-vault,5 in 1 Arcade Vault,2026-09-15,T,Compilation,Neverliss,Xitilon,Xbox Series X,,1,,0,,"критики отмечают, что игры в сборнике не производят впечатления и уступают проектам с более простым управлением","Критики оценивают сборник крайне негативно, указывая на отсутствие впечатлений от игр и их низкое качество по сравнению с другими проектами в жанре.",1 из 1,,,,,gemma-4-12b-it-qat,готов,https://www.youtube.com/watch?v=fXX5Foe2G1Q,K4rn4ge,73,32.0,en,Whisper,"Блогер знакомит зрителей с 5 in 1 Arcade Vault — сборником из пяти различных аркадных игр, доступных на Xbox One, Xbox Series и Windows. В ходе прохождения он оценивает каждую мини-игру, комментируя управление, механику получения достижений и общую сложность. Блогер отмечает, что некоторые элементы управления могут быть непривычными, а описание условий получения достижений — недостаточно подробным.","Блогер считает 5 in 1 Arcade Vault неплохой подборкой аркадных игр, где некоторые режимы ощущаются приятно, а другие могут вызвать легкое раздражение из-за специфики управления или отсутствия четких инструкций к достижениям.",удобное управление в некоторых режимах; простая и понятная механика в режиме twin-stick shooter; приятная механика в режиме shmup,"неудобная необходимость постоянно нажимать кнопку стрельбы вместо удержания; недостаточно понятные условия получения достижений; неудобная цветовая индикация, которая может быть проблемой для людей с цветовой слепотой; неудобная механика появления врагов прямо на игроке",,https://www.metacritic.com/game/5-in-1-arcade-vault/,,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1278809-52.jpg,2026-09-16 15:00
771,771,2026-09-14,,First-Person Adventure,Admia,Admia,PC,,0,,0,,,,,,,,,,готов,https://www.youtube.com/watch?v=p4p9SqmDE9c,Niyeko,6306,64.9,en,Whisper,"Блогер делится своими впечатлениями от прохождения психологического хоррора 771, состоящего из семи уникальных сегментов. Основное внимание в ролике уделяется реакциям игрока на атмосферу, звуки и визуальные образы, а также многочисленным отступлениям на темы еды и аниме. Блогер отмечает довольно короткое прохождение основной части игры, что вызвало у него некоторое удивление.","Игра оставляет смешанные впечатления: с одной стороны, она успешно создает пугающую атмосферу и использует узнаваемые визуальные образы, но с другой — блогер был разочарован краткостью прохождения полной версии игры.",атмосфера игры напоминает Backrooms; наличие работающего фонарика,неприятный звук; недостаточное количество контента в полной версии игры,,https://www.metacritic.com/game/771/,https://video.akamai.steamstatic.com/store_trailers/3916440/729496298/cfec801b14480874724d004e8efff3f9b85ec63b/1787803461/hls_264_master.m3u8?t=1787806473,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1276909-52.jpg,2026-09-16 19:37
911-dispatcher-unknown-caller,911 Dispatcher: Unknown Caller,2026-09-14,,First-Person Adventure,Room13Games,Room13Games,PC,,0,,0,,,,,,,,,,готов,https://www.youtube.com/watch?v=407cCjT6_Jk,setsuna ray,95,23.7,en,Whisper,"Блогер делится впечатлениями от прохождения хоррор-игры 911 Dispatcher: Unknown Caller. Он отмечает специфический визуальный стиль игры, напоминающий рабочий стол Windows XP, и отмечает наличие багов, таких как повторение старых звонков. В ходе прохождения блогер отмечает наличие скриптовых элементов, джампскейров и странных игровых механик, в итоге называя игру шуточной.","Блогер считает игру скорее шуточной из-за странных механик и нелепых моментов, несмотря на попытку создать атмосферу хоррора.",Интересная механика движения камеры,Устаревший визуальный стиль; Наличие багов в системе; Скриптовые и нелогичные моменты,,https://www.metacritic.com/game/911-dispatcher-unknown-caller/,https://video.akamai.steamstatic.com/store_trailers/5133880/1997021726/a85ca6d0ffe142de3ade162ad24c03cfa2ac42a0/1787344452/hls_264_master.m3u8?t=1787755273,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1276431-52.jpg,2026-09-16 19:10
a-decent-farewell,A Decent Farewell,2026-09-15,,First-Person Adventure,Best Brush Studio,Best Brush Studio,PC,,0,,0,,,,,,,,,,не найден,,,,,,,,,,,поиск не дал подходящих роликов,https://www.metacritic.com/game/a-decent-farewell/,https://video.akamai.steamstatic.com/store_trailers/5109380/621135784/018540bd0b69290219a7cce98c08b4e0ad55517e/1786728838/hls_264_master.m3u8?t=1788744641,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1282278-52.jpg,2026-09-16 14:00
a-game-about-flipping-cards,A Game About Flipping Cards,2026-09-15,,Strategy,Zandbox Studio,Zandbox Studio,PC,,0,,0,,,,,,,,,,не найден,,,,,,,,,,,поиск не дал подходящих роликов,https://www.metacritic.com/game/a-game-about-flipping-cards/,https://video.akamai.steamstatic.com/store_trailers/4659250/1768204268/e07251fbb8ef0291e2b5919c32972e0915d9aea3/1779870368/hls_264_master.m3u8?t=1779870519,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1231106-52.jpg,2026-09-16 11:11
a-graveyard-shift,A Graveyard Shift,2026-09-14,,First-Person Adventure,pumpkin.games,pumpkin.games,PC,,0,,0,,,,,,,,,,готов,https://www.youtube.com/watch?v=H3OH8gUYTZ0,Live Insaan,4735652,65.4,hi,Whisper,"Блогер делится впечатлениями от прохождения хоррор-игры A Graveyard Shift, где он исполняет роль ночного охранника на кладбище. Он отмечает атмосферу игры, сравнивая визуальный ряд с эффектом полного погружения, и описывает процесс выполнения различных задач: от проверки камер видеонаблюдения до поиска предметов и борьбы с демоническими сущностями. Блогер эмоционально реагирует на пугающие моменты, включая появление монахини и внезапные скримеры, а также комментирует технические аспекты, такие как баги и изменения в окружении.","Блогер в целом остался доволен игрой, отметив её атмосферу и динамику прохождения. Несмотря на некоторые технические проблемы, он признает, что получил удовольствие от процесса.",Визуальное погружение в атмосферу кладбища; Наличие системы видеонаблюдения для проверки территории; Наличие системы выполнения задач; Интересное взаимодействие с предметами и окружением,Наличие технических ошибок и багов; Неожиданное изменение условий игры (замена замков),,https://www.metacritic.com/game/a-graveyard-shift/,https://video.akamai.steamstatic.com/store_trailers/4897200/2041084319/5822e38fba4bc7555b88384cf486d7bf602d6f8d/1782596777/hls_264_master.m3u8?t=1783001790,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1255324-52.jpg,2026-09-16 19:10
afk-army-for-keyboard,AFK - Army For Keyboard,2026-09-16,,Puzzle,Lumethis Ekibi,Lumethis,PC,,0,,0,,,,,,,,,,не найден,,,,,,,,,,,поиск не дал подходящих роликов,https://www.metacritic.com/game/afk-army-for-keyboard/,https://video.akamai.steamstatic.com/store_trailers/5194330/1156072443/a8ce6095327c812f676dc568ecc10937b978e0a9/1789064112/hls_264_master.m3u8?t=1789064595,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1280453-52.jpg,2026-09-16 11:00
akiba-lost,AKIBA LOST,2026-09-16,,Action Adventure,IzanagiGames,IzanagiGames,PlayStation 5,,0,,0,,,,,,,,,,не найден,,,,,,,,,,,hGwRFIY4X5g: мало речи блогера (0 символов в минуту); EaicQmgCb9E: мало речи блогера (33 символов в минуту),https://www.metacritic.com/game/akiba-lost/,https://video.akamai.steamstatic.com/store_trailers/4131220/885385408/97619c96750933d6ed9e3b8ab521a363f4adb6ef/1769152784/hls_264_master.m3u8?t=1769154789,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1157846-59.jpg,2026-09-16 10:28
ares-the-iron-vanguard,ARES: THE IRON VANGUARD,2026-09-15,,Action RPG,Second Dive,Com2uS,PC,,0,,0,,,,,,,,,,готов,https://www.youtube.com/watch?v=rJaIe0RGeQU,Lein Xceed,40673,17.5,id,Whisper,"Блогер делится впечатлениями от выхода ARES: THE IRON VANGUARD в Индонезии. Он отмечает, что игра основана на старом проекте, и оценивает её как качественную MMORPG с элементами мехи и магией. Блогер хвалит глубокую систему кастомизации персонажей, визуальный стиль и наличие различных классов, но при этом предупреждает о высокой технической сложности игры для мобильных устройств и довольно дорогой системе монетизации.","ARES: THE IRON VANGUARD — это масштабная MMORPG с глубокой кастомизацией и интересными механиками смены классов. Несмотря на визуально привлекательный стиль и качественный контент, игра может быть требовательной к железу на мобильных устройствах и обладает довольно высокой стоимостью внутриигровых покупок.",Детальная настройка внешности персонажа; Возможность изменять параметры тела персонажа; Качественный пролог для мобильной игры; Интересное сочетание магических способностей и механики мехов; Наличие системы смены классов во время боя,Высокие системные требования для мобильных устройств; Наличие просадок кадров (frame drops); Дорогая система монетизации и цены на внутриигровые товары,,https://www.metacritic.com/game/ares-the-iron-vanguard/,,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1282691-59.jpg,2026-09-16 15:00
active-matter,Active Matter,2026-09-15,,Tactical FPS,Matter Team,Gaijin Entertainment,PC,,0,,0,,,,,,,,,,готов,https://www.youtube.com/watch?v=ZM3geD7WANA,martincitopantsLIVE,739770,37.2,en,Whisper,"Блогер проходит игру Active Matter в кооперативном режиме, исследуя её мир и взаимодействуя с различными механиками. На протяжении всего ролика он оценивает динамику процесса, элементы выживания и способы взаимодействия с окружением.","Блогер остался доволен Active Matter, отметив её пугающую атмосферу и интересные игровые механики, несмотря на некоторые сложности с навигацией и уровень шума.",атмосфера игры; возможность управлять транспортными средствами; качество окружающей среды; механика антигравитационных аномалий; Разнообразная музыка в лобби,высокий уровень шума в игре; Ловушки на полу могут быть труднозаметными; Урон от падения,,https://www.metacritic.com/game/active-matter/,https://video.akamai.steamstatic.com/store_trailers/2887580/696215680/336f7a62298d6389ce7feb3d67d69c37e7ae4ebc/1789133384/hls_264_master.m3u8?t=1789462798,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1066820-52.jpg,2026-09-16 15:00
after-dark-jigsaw,After Dark Jigsaw,2026-09-14,,Puzzle,Hidden File,Hidden File,PC,,0,,0,,,,,,,,,,не найден,,,,,,,,,,,поиск не дал подходящих роликов,https://www.metacritic.com/game/after-dark-jigsaw/,https://video.akamai.steamstatic.com/store_trailers/5096850/1607679886/b140618486861364203ca84dd6a663d4bafa1ff2/1786472783/hls_264_master.m3u8?t=1788214163,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1279015-52.jpg,2026-09-16 19:37
alex-and-arty,Alex & Arty,2026-09-16,,Action Adventure,"ROLLDBOX GAMES, SL",Jatai Games,PC,,0,,0,,,,,,,,,,готов,https://www.youtube.com/watch?v=5ONG8kaqVXc,XP Kolik,23,58.4,tr,Whisper,"Блогер протестировал демоверсию игры Alex & Arty. Он отмечает наличие интересных механик, таких как способности Burst Shutter и системы очистки территорий, однако часто сталкивается с техническими проблемами, включая баги и некорректное поведение персонажей. Несмотря на визуальную привлекательность и интересные элементы геймплея, блогер сомневается в необходимости дальнейшего прохождения демоверсии из-за отсутствия прогрессии в текущем формате.","Блогер остался доволен демоверсией Alex & Arty, отметив её визуальную составляющую и интересные механики, такие как Burst Shutter. Однако частые баги, проблемы с управлением персонажами и запутанные маршруты к целям несколько испортили впечатление. В итоге автор решил не продолжать игру дальше, так как в рамках демоверсии прогрессия ограничена.",эффектные способности для сражения с боссами; приятная визуальная составляющая; удобная механика очистки территории,технические ошибки и баги; некорректное поведение персонажей и сложность управления; неудобная навигация и путь к целям,,https://www.metacritic.com/game/alex-and-arty/,https://video.akamai.steamstatic.com/store_trailers/2854800/793938685/49720c437e1015a49c976680fffac8e6b4df878f/1789565782/hls_264_master.m3u8?t=1789569302,https://www.metacritic.com/a/img/catalog/provider/6/12/6-1-1166359-52.jpg,2026-09-16 10:28
