slug,название,статус,ссылка,канал,просмотры,длительность (мин),опубликован,язык,расшифровка,попыток,о чём ролик,итог,блогер хвалит,блогер ругает,ошибка,обновлено
after-dark-jigsaw,After Dark Jigsaw,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:37
alex-and-arty,Alex & Arty,готов,https://www.youtube.com/watch?v=5ONG8kaqVXc,XP Kolik,23,58.4,5 months ago,tr,Whisper,1,"Блогер протестировал демоверсию игры Alex & Arty. Он отмечает наличие интересных механик, таких как способности Burst Shutter и системы очистки территорий, однако часто сталкивается с техническими проблемами, включая баги и некорректное поведение персонажей. Несмотря на визуальную привлекательность и интересные элементы геймплея, блогер сомневается в необходимости дальнейшего прохождения демоверсии из-за отсутствия прогрессии в текущем формате.","Блогер остался доволен демоверсией Alex & Arty, отметив её визуальную составляющую и интересные механики, такие как Burst Shutter. Однако частые баги, проблемы с управлением персонажами и запутанные маршруты к целям несколько испортили впечатление. В итоге автор решил не продолжать игру дальше, так как в рамках демоверсии прогрессия ограничена.",эффектные способности для сражения с боссами; приятная визуальная составляющая; удобная механика очистки территории,технические ошибки и баги; некорректное поведение персонажей и сложность управления; неудобная навигация и путь к целям,,2026-09-16 10:40
ancient-chinese-grand-strategy,Ancient Chinese Grand Strategy,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:34
aniimo,Aniimo,готов,https://www.youtube.com/watch?v=00I2O7Wrrbs,Dattrax Gaming,1239939,46.5,1 year ago,hi,Whisper,1,"Блогер делится впечатлениями от игры Aniimo, которую он тестирует в режиме бета-доступа. Он выражает восторг от визуальной составляющей игры, графики и разнообразия существ, сравнивая их с Pokemon. Блогер отмечает наличие системы прокачки, обучения и взаимодействия с персонажами, а также отмечает масштаб карты. Несмотря на некоторые технические огрехи и сложности в управлении, он в целом очень доволен игрой и рекомендует её к ознакомлению.","Блогер крайне впечатлен Aniimo, называя её «безумно красивой» игрой с отличной графикой. Ему очень понравились существа, напоминающие Pokemon, и возможность исследовать огромный мир. Несмотря на небольшие трудности с управлением, он получил массу удовольствия от процесса и с нетерпением ждет продолжения приключений.",Высокое качество графики и визуального стиля; Приятная внешность и детализация существ; Красивый и детализированный мир; Разнообразие видов животных; Интересные механики взаимодействия и способностей,Сложности с управлением и случайные действия персонажа; Некоторые механики могут казаться затянутыми или повторяющимися,,2026-09-16 10:15
another-eden-begins,Another Eden Begins,готов,https://www.youtube.com/watch?v=SzaJHMm_OFA,Lein Xceed,47828,73.0,13 days ago,id,Whisper,1,"Блогер делится своими первыми впечатлениями от Another Eden Begins, отмечая переход игры из мобильного формата в премиум-сегмент на ПК. Он отмечает улучшенную графику по сравнению с оригинальной мобильной версией, но выражает сомнения по поводу высокой стоимости игры. В ходе прохождения он оценивает боевую систему, систему прокачки способностей и визуальные эффекты анимаций, а также отмечает наличие системы кодекса для сбора информации.","Блогер отмечает, что Another Eden Begins выглядит значительно лучше мобильной версии за счет более плавной графики и качественного освещения. Ему понравились анимации способностей и система кодекса, однако он считает игру дорогой для своего формата. Несмотря на некоторые технические нюансы, такие как статичные аватары или проблемы с видимостью карты в определенных зонах, игра производит приятное первое впечатление.",Более плавная графика по сравнению с мобильной версией; Хорошее освещение в игре; Красивые визуальные эффекты анимаций; Удобная система кодекса для сбора информации,Высокая цена игры и наличие платных дополнений; Статичные аватары в интерфейсе; Непросто ориентироваться на карте в подземельях,,2026-09-16 10:13
are-you-chicken,Are You Chicken?,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:43
arrow-card-arena,Arrow Card Arena,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:16
art-rally-simulator,Art Rally Simulator,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 15:03
ashworth,Ashworth,готов,https://www.youtube.com/watch?v=uNQdmirWxjc,Landon Ashworth,6681,11.5,2 years ago,en,Whisper,1,"Блогер тестирует комплект клюшек Bombtech, которые совершенно не подходят ему по техническим характеристикам: они слишком короткие, имеют неправильную жесткость шафта и не привычный ему тип проставки (forgiveness). Несмотря на это, он отмечает, что клюшки хорошо себя показали, и ему удалось забить минус в игру. Блогер подчеркивает, что играть на таком оборудовании крайне сложно из-за необходимости полностью менять технику взмаха.","Блогер отмечает, что играть на клюшках, которые не соответствуют его параметрам, крайне сложно, и ему пришлось сильно менять технику взмаха. Однако он признает, что комплект Bombtech справился с задачей, позволив ему забить минус в игру.",Клюшки хорошо себя показали в игре; Клюшки выглядят красиво,Клюшки не подходят по длине; Неправильная жесткость шафта; Очень высокая сложность игры на незнакомом оборудовании; Неудобные для блогера рукоятки,,2026-09-16 11:04
assassin-seek,Assassin Seek,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:13
avalonclash,AvalonClash,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:32
axiomatik,Axiomatik,не найден,,,,,,,,1,,,,,среди роликов нет летсплеев,2026-09-16 10:40
blackwood,BLACKWOOD,готов,https://www.youtube.com/watch?v=BqHxqv8uOHg,WavezWRLD,29268,10.5,5 days ago,en,Whisper,2,"Блогер считает BLACKWOOD крайне интересной игрой благодаря её уникальной концепции: контрасту между повседневной жизнью владельца магазина DVD и деятельностью наемного убийцы. Он отмечает, что игра не пытается переизобрести жанр шутера, а фокусируется на синергии двух разных игровых циклов — симулятора жизни и кинематографичного экшена. Блогеру особенно импонирует идея «двойной жизни» героя, где рутинные действия имеют сюжетное значение и влияют на прогрессию.","BLACKWOOD выделяется на фоне других игр за счет смелого сочетания симулятора магазина и экшена. Блогер высоко оценивает проработку механик, где управление бизнесом напрямую влияет на прогрессию и идентичность персонажа. Игра успешно передает атмосферу двойной жизни, делая каждый момент — от продажи DVD до кровавых контрактов — значимым для истории.","Интересная концепция контраста между двумя разными жизнями героя; Глубокая и продуманная система экономики с разделением на «чистые» и «грязные» деньги; Качественная боевая система с упором на движения и реалистичные анимации добиваний; Необычный подход к сюжету, где рутинные моменты являются важной частью повествования",,,2026-09-16 18:44
blind-spot-kyle-simpson,BLIND SPOT (Kyle Simpson),не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 15:58
brazilian-drug-dealer-before-4-demons-from-the,BRAZILIAN DRUG DEALER BEFORE 4: DEMONS FROM THE PORTAL TO HELL I OPENED ARE STILL IN THE FAVELA AND NOW I HAVE TO SAVE MAMADAS FROM RONALDO,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:37
btr-ringfall,BTR Ringfall,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 18:23
batomon-showdown,Batomon Showdown,готов,https://www.youtube.com/watch?v=Z5i7w4T8MSU,Retromation,72288,29.8,3 months ago,en,Whisper,1,"Блогер делится впечатлениями от демо-версии Batomon Showdown, описывая её как автобатлер с тематикой коллекционирования существ, напоминающий Pokemon. Он отмечает, что игра находится в «золотой середине» по уровню сложности: она сложнее, чем Super Auto Pets, но при этом обладает интересными механиками принятия решений и вариативностью забегов. Блогер очень доволен игрой, называя её подходящей именно для его стиля геймплея.","Блогеру очень понравилась игра, он считает её отличным автобатлером с глубокими механиками и приятной атмосферой.",удобное объединение показателей здоровья в одну полоску; интересные и крутые способности; подходящий уровень сложности; хорошая вариативность забегов; приятное ощущение от геймплея,недостаточная сложность некоторых механик; неожиданно низкая награда за достижение,,2026-09-15 18:16
bible-quiz-trivia-do-you-know-your-bible,Bible Quiz Trivia - Do you know your Bible?,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:44
bioeden,BioEden,готов,https://www.youtube.com/watch?v=ncXL8TLx0sM,Aliensrock,278888,30.1,12 days ago,en,Whisper,2,"В ролике блогер знакомится с процессом восстановления токсичной планеты в игре BioEden, где ему предстоит балансировать между промышленным развитием и экологическим восстановлением. Автор исследует механики создания биомов, управления ресурсами и размножения различных видов животных. На протяжении прохождения он оценивает систему прогрессии, исследование новых территорий и визуальные изменения ландшафта.","Блогер остался доволен игрой, отметив увлекательный цикл восстановления экосистемы и интересные взаимодействия между видами животных. Несмотря на сложности с балансировкой ресурсов и строгие ограничения системы рисков, визуальный прогресс и механики исследования приносят большое удовольствие.",Процесс исследования и размножения животных реализован интересно; Механика восстановления природы дает положительный результат; Визуальный стиль некоторых животных нравится блогеру; Интересное взаимодействие между видами животных; Приятно наблюдать за размножением животных,Развитие требует значительных затрат ресурсов; Рост промышленного развития негативно влияет на экологию; Увеличение уровня кризиса приводит к удорожанию строительства; Сложность балансировки строительства из-за системы рисков; Неудобство поиска определенных ресурсов,,2026-09-16 09:59
blackjack-simulator-2027,Blackjack Simulator 2027,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:13
blackout-murder,Blackout Murder,готов,https://www.youtube.com/watch?v=JqveHVulRV0,Librahprime,9,20.7,1 year ago,en,Whisper,1,"Блогер делится впечатлениями от прохождения игры Blackout Murder, которую он нашел на платформе itch.io. Он отмечает атмосферу игры, отмечая драматичную музыку и визуальные детали, такие как лунный свет и портреты. Блогер хвалит динамику игры и некоторые элементы взаимодействия, однако также отмечает проблемы с читаемостью текста из-за недостаточного освещения и некоторые моменты повествования, которые показались ему странными или затянутыми. В целом, он признает, что игра затягивает, несмотря на некоторые технические и дизайнерские нюансы.","Блогер считает игру интересной и атмосферной, отмечая её способность удерживать внимание игрока до самого конца. Несмотря на жалобы на освещение и некоторые странности в сценарии, он признает, что получил удовольствие от процесса.",драматичная музыка; атмосферные визуальные эффекты; интересное прохождение; приятные детали в окружении,плохая читаемость текста из-за темноты; неожиданно быстрое развитие событий; странные или нелепые моменты в сюжете,,2026-09-16 19:15
blood-lily-killers-cant-sink-a-yuri-ship,Blood Lily: Killers Can't Sink a Yuri Ship,готов,https://www.youtube.com/watch?v=Y8p4mCtf0wE,rinimt,257,28.3,2 weeks ago,en,Whisper,1,"Блогер делится впечатлениями от демоверсии игры Blood Lily: Killers Can't Sink a Yuri Ship. Он отмечает наличие большого количества деталей в сюжете, а также наличие системы диалогов и возможности исследования локаций. Блогер активно комментирует происходящее, выражая удивление и иронию по поводу поведения персонажей и закрученных событий.","Блогер оценивает игру как детально проработанную детективную историю с интересными механиками исследования и диалогов. Несмотря на некоторые замечания по поводу избыточности информации и поведения некоторых персонажей, он находит сюжетные повороты и атмосферу игры заслуживающими внимания.",Игра содержит много деталей; Наличие системы диалогов и исследования,Слишком много лишней информации; Недостаточное количество подсказок от персонажей,,2026-09-16 15:03
bloomkeeper,BloomKeeper,готов,https://www.youtube.com/watch?v=xcE0qRVE9wo,morifae,941,62.2,3 months ago,en,Whisper,1,"В данном ролике блогер проходит демоверсию игры BloomKeeper, оценивая её визуальный стиль и геймплейные механики. Автор исследует мир игры, управляя группой маленьких существ и взаимодействуя с окружением в спокойном темпе.","Блогер остался в восторге от игры, называя её невероятно милой, уютной и визуально приятной. Несмотря на некоторые сложности с управлением независимыми существами и появление «злых» версий, общее впечатление осталось крайне положительным.",Визуальный стиль игры очень красивый и приятный; Персонажи и существа в игре очень милые; Музыкальное сопровождение очень приятное и атмосферное; Приятный процесс управления и взаимодействия с существами; Геймплей спокойный и не слишком сложный,Управление существами может быть сложным из-за их независимости; Игроку бывает трудно удерживать группу в нужном направлении; Появление злых версий существ может вызвать недовольство,,2026-09-16 10:47
blue-sun-saga,Blue Sun Saga,не найден,,,,,,,,1,,,,,среди роликов нет летсплеев,2026-09-16 10:22
botsbeats,Bots&Beats,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:15
burrows-of-cairntir,Burrows of Cairntir,не найден,,,,,,,,1,,,,,среди роликов нет летсплеев,2026-09-16 19:41
bus-simulator-27,Bus Simulator 27,готов,https://www.youtube.com/watch?v=mTTURiczxP0,Vinesauce: The Full Sauce,71571,86.7,11 days ago,en,Whisper,2,"В этом видео Vinny знакомится с Bus Simulator 27, оценивая её как более проработанный проект в своем жанре по сравнению с предшественниками. Блогер тестирует возможности управления транспортной компанией, кастомизацию автобусов и создание собственных маршрутов, погружаясь в процесс вождения.","Общее впечатление блогера остается смешанным: игра признается достойным симулятором для ценителей процесса вождения, но вызывает разочарование из-за отсутствия взаимодействия с миром и технических огрехов. Если в начале автор выделял инновационные механики и детализацию, то к финалу акцентировал внимание на ограниченности свободы действий и раздражающей системе штрафов.","Инновационная и интересная камера; Возможность создавать собственные маршруты и управлять компанией; Детализация автобусов впечатляет; Игра кажется менее багованной, чем ожидалось; Управление автобусом выполнено на достойном уровне",Сложности и странности в управлении автобусом; Непонятные или странные игровые механики и баги; Ограниченность игровых возможностей и отсутствие свободы действий; Несоразмерно высокие штрафы за мелкие ошибки; Проблемы с кастомизацией транспорта,,2026-09-16 10:08
caravan-in-the-majin-world,CARAVAN in the MAJIN WORLD,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:14
captain-tsubasa-2-world-fighters,Captain Tsubasa 2: World Fighters,готов,https://www.youtube.com/watch?v=DXXYdfIJ0b4,oessaM and ilMasseo,153154,46.3,12 days ago,it,Whisper,2,"В ролике блогер делится впечатлениями от игры Captain Tsubasa 2: World Fighters, называя её одним из лучших футбольных симуляторов в истории. Он подробно разбирает процесс создания и кастомизации персонажа, систему способностей, тренировки и динамику матчей. Автор эмоционально реагирует на игровой процесс, оценивая механику суперударов и особенности управления атакой и защитой.","Общее впечатление блогера крайне позитивное: несмотря на жалобы на сложность управления, медленный темп и посредственное обучение, он получает удовольствие от игры и считает её легендарной.",считает игру одним из лучших футбольных симуляторов в истории; отмечает эмоциональную атмосферу игры; Эффективность выполнения супер-удара; высоко оценивает возможность глубокой кастомизации персонажа; хвалит систему суперударов и способностей,жалуется на сложность понимания управления и механик; недоволен качеством обучения; Медленная динамика игры; Сложность выполнения определенных приемов; Неудовлетворительный результат из-за ошибки в управлении,,2026-09-16 10:05
cardfall-arena,Cardfall Arena,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:32
carrot-clicker,Carrot Clicker,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 19:12
charnoluzkys-office,Charnoluzky's Office,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:52
chef-hands-kitchen-mayhem,Chef Hands : Kitchen Mayhem,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-15 13:00
chill-drive-together,Chill Drive Together,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 11:05
chronicle-of-wuxia-and-xianxia-survivors,Chronicle of Wuxia & Xianxia Survivors,не найден,,,,,,,,1,,,,,joJyYuhSvhQ: в ролике нет речи блогера,2026-09-16 15:01
chuddy-clicker,Chuddy Clicker,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:20
cipher-monk-cassette-equation,Cipher Monk: Cassette Equation,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 15:04
circle-test-suite,Circle Test Suite,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:44
cloudbreaker,Cloudbreaker,готов,https://www.youtube.com/watch?v=g4W3iTnsHN4,Wanderbots,10634,68.1,3 months ago,en,Whisper,2,"В ролике блогер знакомится с демоверсией Cloudbreaker — Bullet Heaven игрой, сочетающей в себе элементы управления инвентарем и строительства корабля. Автор исследует систему кастомизации судна, механику эволюции оружия и мета-прогрессию через разблокировку новых деталей. На протяжении прохождения блогер оценивает разнообразие контента и глубину взаимодействия между различными компонентами корабля.","Блогер остался доволен игрой, назвав её качественным представителем жанра с увлекательным геймплеем и приятным визуальным исполнением. Несмотря на некоторые сложности с пониманием характеристик и ограниченность слотов в демоверсии, общее впечатление осталось положительным.","Разнообразие типов врагов; Приятная мета-прогрессия через разблокировку контента; Хорошая система эволюции оружия; Эффектные визуальные детали, такие как наклон корабля; Хорошее музыкальное сопровождение",Ограниченное количество слотов на корабле; Не всегда понятное влияние характеристик на оружие; Система редкости может мешать оптимальному подбору модулей; Высокая стоимость некоторых предметов в метапрогрессии; Механика щита кажется ограничивающей,,2026-09-16 10:33
code-velocity,Code Velocity,не найден,,,,,,,,1,,,,,поиск не дал подходящих роликов,2026-09-16 10:36
cognite,Cognite,готов,https://www.youtube.com/watch?v=FFJbQkgiV8Y,ElleixGaming,31078,17.5,2 years ago,en,Whisper,1,"Блогер комментирует матч в модификации Custom Zion Races для StarCraft II, представляя новые расы и их уникальные механики. Он выражает восторг от дизайна юнитов, системы строительства и визуальных эффектов, называя мод очень крутым и живым. Блогер подробно описывает особенности каждой из трех новых рас, сравнивая их с базовыми фракциями игры, и отмечает высокую динамику сражений.","Блогер в восторге от модификации Custom Zion Races, отмечая её как очень крутую и наполненную уникальными механиками. Ему особенно понравился дизайн юнитов, анимации развертывания и новые структуры, которые добавляют игре жизни. Несмотря на небольшие просадки кадров из-за технических ограничений своего ПК, он высоко оценил визуальную составляющую и сложность взаимодействия новых фракций.",уникальные и интересные новые расы; крутая механика строительства и развертывания юнитов; отличный дизайн юнитов; уникальные и полезные способности юнитов; высокая динамика и насыщенность геймплея,,,2026-09-16 11:14
console-kingdom,Console Kingdom,не найден,,,,,,,,1,,,,,среди роликов нет летсплеев,2026-09-16 10:51
craftomation-101-programming-and-craft,Craftomation 101: Programming & Craft,готов,https://www.youtube.com/watch?v=Y7fjtrub8Ro,Secreto - Game Zone,3391,100.7,8 months ago,es,Whisper,1,"В данном ролике блогер знакомится с Craftomation 101: Programming & Craft — sandbox-симулятором автоматизации и программирования. Он последовательно осваивает базовые и продвинутые механики: от генерации ресурсов и создания базы до написания сложного кода с использованием циклов, условий, переменных и функций для управления роботами. Блогер демонстрирует процесс построения масштабных автоматизированных цепочек и отладки логики взаимодействия роботов с окружением.","Блогер высоко оценил игру как интересный образовательный проект, позволяющий динамично изучать основы программирования через автоматизацию. Несмотря на наличие багов, сложность настройки некоторых условий и медленный темп производства, общее впечатление осталось положительным благодаря глубине механик и удобным инструментам для работы с кодом.",Удобная система функций и переменных для экономии места в коде; удобная система копирования и редактирования кода; Наличие новых карт; Возможность копирования и повторного использования кода между роботами; Игра подходит для обучения детей основам программирования,проблемы с одновременным взаимодействием роботов в одной ячейке; Наличие багов в логике игры; Сложность настройки условий для предотвращения бесконечных циклов; сложность достижения целей из-за медленного темпа производства,,2026-09-16 19:30
